Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
9,44,1,9,6,45
2,62,0,5,0,37
9,94,0,9,2,92
9,61,1,9,5,58
7,65,1,4,4,55
1,81,1,5,4,54
7,51,1,4,8,44
5,79,0,9,5,65
6,58,1,4,2,47
7,86,0,4,1,75
5,40,0,6,8,25
7,42,0,7,9,34
9,66,1,8,3,63
3,57,1,7,4,40
8,89,0,7,8,86
2,69,1,5,4,45
7,41,1,6,6,35
2,44,0,6,1,18
4,68,0,4,1,48
7,72,1,7,3,63
3,81,0,8,7,62
2,59,1,5,1,34
7,69,1,6,9,61
1,81,0,4,6,57
8,44,0,8,0,37
3,89,1,7,8,69
2,60,0,8,9,38
3,97,1,6,5,77
5,54,0,5,0,38
8,59,1,7,9,54
7,47,0,5,5,37
7,88,1,9,4,83
7,70,1,8,4,60
8,51,0,8,4,45
1,60,1,4,3,33
4,69,1,7,6,52
6,66,1,8,8,53
9,83,1,6,3,80
2,65,1,9,1,45
1,72,0,6,1,45
2,65,1,5,1,44
7,65,1,9,6,58
3,75,1,9,3,56
2,79,0,6,3,52
7,40,0,8,0,30
2,98,1,6,3,75
3,54,1,7,5,35
7,89,0,5,1,79
4,40,0,9,3,26
1,50,1,7,6,25
5,94,0,8,8,83
9,41,1,8,1,38
8,40,1,6,7,34
9,70,1,4,5,65
9,83,0,9,7,82
7,55,1,9,1,47
4,93,1,4,0,74
5,61,0,8,6,46
1,81,1,8,8,57
1,57,1,9,8,32
3,86,1,5,1,62
8,56,0,9,3,48
2,69,0,8,0,48
4,49,1,8,6,31
2,74,0,5,1,52
5,97,1,7,3,83
9,60,1,7,1,60
1,55,0,5,0,30
5,45,0,5,6,27
9,42,1,7,5,42
1,80,0,7,1,52
9,82,0,7,3,79
8,60,0,7,2,53
4,52,1,9,2,35
5,57,1,9,2,43
5,97,0,6,3,82
6,93,1,5,0,78
7,99,1,4,0,92
8,63,0,6,6,55
8,66,1,4,4,59
2,93,0,4,2,68
9,43,1,8,8,38
7,61,1,5,4,51
4,63,0,9,9,48
4,79,1,6,2,61
8,84,0,5,8,78
4,49,1,7,0,31
6,41,1,5,8,29
5,79,1,4,4,64
3,45,0,9,5,25
2,87,1,7,1,64
9,57,1,5,7,51
9,56,0,5,2,51
1,77,0,9,0,54
3,84,1,4,6,63
8,62,0,7,2,55
6,85,0,4,3,72
5,69,0,9,4,57
5,97,0,5,0,83
6,60,1,6,8,49
7,49,0,6,6,40
1,95,1,8,1,70
9,82,1,6,0,76
3,52,1,9,1,31
4,51,0,9,2,35
1,48,0,9,2,25
3,43,1,7,7,23
2,78,1,8,4,54
2,63,0,7,8,40
1,93,0,6,2,63
8,73,1,6,5,70
3,78,0,5,3,57
3,80,0,7,7,60
6,44,1,4,0,31
8,54,0,5,3,46
9,89,0,7,6,85
9,43,1,9,8,42
4,90,0,8,0,75
5,91,1,7,7,81
2,97,0,8,1,73
9,78,1,8,3,76
8,97,0,6,3,92
3,47,1,4,7,26
9,88,0,7,1,84
3,84,0,4,6,63
9,63,0,8,2,61
2,92,1,6,8,70
9,67,0,4,4,62
8,94,1,5,7,90
9,82,0,8,4,79
5,66,0,5,0,49
2,40,0,9,8,17
8,73,0,4,9,66
6,56,0,4,6,43
8,76,0,4,3,68
5,77,1,9,6,62
2,65,1,7,4,42
6,96,0,8,9,83
5,63,0,8,8,49
5,78,0,8,1,64
1,99,0,7,3,73
2,60,0,4,5,35
8,69,1,4,4,59
3,86,0,9,0,64
3,90,0,5,8,68
8,87,1,7,8,83
8,96,1,6,2,88
2,52,1,7,3,27
8,76,0,9,3,71
1,42,0,5,9,12
6,71,0,5,7,56
8,74,0,5,5,67
3,58,0,4,1,35
8,53,1,6,3,48
1,87,0,5,0,59
9,61,0,8,2,58
9,56,0,4,3,49
5,98,1,6,7,81
4,43,0,8,2,25
6,84,0,6,4,70
7,79,0,9,0,71
5,58,0,6,3,40
9,76,1,8,1,75
3,41,1,7,3,20
7,54,1,6,4,46
5,41,0,7,2,28
7,50,1,6,5,41
2,84,1,9,1,60
4,62,0,8,4,48
2,49,0,6,3,25
7,42,1,5,4,32
2,44,1,9,8,23
1,42,1,5,5,14
9,77,1,9,6,76
1,52,0,9,7,24
8,81,0,6,8,75
2,58,1,8,4,37
8,79,1,8,7,72
3,89,1,4,1,68
6,74,0,8,9,64
3,63,0,7,8,43
7,63,0,6,1,53
9,56,1,5,4,52
2,79,0,8,5,56
5,49,1,5,3,33
6,41,1,4,7,28
4,83,0,6,9,66
4,62,1,8,2,45
4,45,0,5,4,26
2,41,0,9,1,20
4,60,1,8,2,43
1,94,1,4,7,68
6,95,0,9,4,85
1,74,0,5,2,47
6,88,0,5,4,75
1,68,0,6,8,44
6,46,0,6,2,31
8,68,0,5,9,62
2,92,0,9,6,70
2,76,1,6,7,54
4,62,0,5,4,43
3,72,1,9,2,53
4,47,1,7,5,30
7,51,0,8,2,43
1,85,0,7,8,60
6,87,0,7,1,75
3,49,0,8,2,31
7,54,0,5,6,44
2,92,1,5,9,70
2,63,1,6,7,41
4,65,0,4,4,46
1,86,0,5,4,59
3,81,0,8,4,61
9,92,0,4,3,87
7,99,1,8,8,92
7,78,1,8,5,72
4,97,1,8,7,82
2,42,0,4,7,17
4,41,0,7,4,23
6,45,0,9,8,34
3,60,1,8,1,40
1,48,1,6,7,22
8,49,1,5,2,42
5,75,0,9,6,60
5,98,1,5,8,83
4,42,0,5,4,23
6,80,1,4,7,68
3,63,0,6,3,41
9,61,0,6,0,58
5,88,0,9,0,76
3,53,0,6,5,32
1,81,1,6,7,56
6,84,1,6,9,73
2,83,1,9,1,63
3,66,0,7,3,47
1,72,1,6,2,46
9,99,0,6,8,96
8,61,1,4,2,50
2,68,1,4,7,44
8,58,0,6,6,49
9,58,0,7,0,54
1,45,0,6,7,16
5,84,1,6,8,70
8,58,0,6,7,49
2,52,1,8,9,30
4,98,1,7,9,83
7,65,1,5,0,55
3,61,0,6,6,40
5,60,1,5,8,46
8,75,0,7,4,70
3,95,0,6,1,74
4,41,1,5,7,25
9,86,1,9,8,87
7,83,1,5,6,76
1,69,1,7,4,43
4,66,0,6,7,47
4,46,0,8,5,29
9,59,0,7,3,53
6,89,0,8,0,77
9,70,0,6,5,67
6,62,0,5,7,50
6,52,0,9,2,43
5,56,0,9,6,42
5,43,0,7,6,29
2,96,1,7,8,76
8,53,1,7,0,47
8,59,0,4,4,51
1,99,0,9,7,75
8,52,1,9,2,47
5,42,1,6,4,25
2,65,1,4,0,40
2,65,0,7,8,40
6,57,1,7,3,45
9,71,1,8,4,69
1,53,1,4,2,24
6,86,1,5,1,73
9,42,1,9,6,39
8,40,0,6,4,36
6,65,1,5,9,54
3,63,0,5,2,42
8,88,1,6,1,82
9,74,1,7,9,75
1,53,1,9,5,27
9,42,1,8,9,39
6,52,1,7,5,39
6,86,0,7,2,74
4,89,0,4,8,71
1,53,0,5,0,25
8,60,0,5,2,50
2,65,0,9,0,42
1,42,0,5,6,13
2,90,0,8,1,66
1,79,1,8,3,54
1,43,0,8,3,20
9,75,1,6,7,69
1,90,1,9,3,65
4,82,0,8,2,65
6,40,1,4,9,28
7,79,1,4,2,71
2,86,0,7,4,63
6,72,1,7,5,64
7,46,0,9,6,35
2,92,1,7,4,67
2,91,0,7,6,68
7,91,1,4,3,79
1,95,0,7,4,70
8,50,1,4,5,44
3,66,0,8,8,47
6,53,1,8,5,42
9,61,1,9,9,60
6,55,0,6,0,42
9,85,1,7,6,86
7,51,0,8,2,42
9,88,1,8,5,86
2,85,1,9,1,63
8,49,0,5,6,45
8,63,1,5,0,56
2,85,0,9,1,65
4,57,1,4,8,39
7,61,1,6,8,53
4,48,1,9,6,32
4,56,1,5,1,37
6,77,0,6,4,62
6,79,0,8,3,68
3,97,1,9,1,78
9,52,1,4,1,47
2,89,0,6,9,66
6,76,1,5,7,63
7,45,0,8,4,36
9,60,1,9,7,59
3,90,1,7,1,70
3,75,0,8,1,55
7,46,1,5,2,36
4,75,0,9,9,59
8,64,0,5,7,59
7,50,0,7,7,41
5,83,0,8,2,69
7,53,0,6,0,41
3,84,0,6,6,67
2,68,1,8,3,48
6,49,0,6,2,33
2,89,0,9,4,64
3,87,1,8,5,68
6,44,0,8,0,31
5,47,1,5,8,32
8,85,0,4,5,78
9,44,0,5,2,40
3,97,0,6,0,78
3,99,1,4,8,79
3,63,1,8,1,43
6,79,0,6,9,66
1,96,0,7,5,69
7,65,1,6,5,56
1,45,1,4,2,20
5,55,1,4,5,39
8,99,0,8,1,95
4,75,1,9,7,60
5,51,1,7,0,36
4,50,1,8,5,33
4,42,1,7,0,21
8,83,1,7,8,77
2,76,1,8,8,58
1,45,1,6,5,22
3,58,0,5,5,38
9,57,1,7,8,56
4,55,0,4,4,36
5,62,0,8,8,49
2,82,1,9,4,60
4,76,0,6,3,60
2,48,0,7,1,26
2,42,1,9,1,18
4,47,0,6,0,28
6,77,1,8,9,67
7,43,1,9,2,36
3,51,1,4,0,29
3,83,1,7,5,64
6,70,1,7,6,60
3,64,1,9,8,46
2,92,1,6,6,68
8,55,0,8,3,49
5,81,1,5,3,69
1,93,0,7,7,66
3,53,1,4,3,29
8,52,1,7,0,45
4,80,1,7,8,64
7,46,0,5,2,32
2,51,0,5,0,26
7,76,0,8,8,68
5,89,0,7,9,78
5,43,0,7,9,32
6,41,0,6,4,25
9,74,1,6,8,72
6,97,1,9,2,88
8,83,0,9,5,75
7,42,0,4,6,34
9,43,0,4,4,39
4,77,0,6,7,63
2,51,0,9,9,29
7,58,1,4,5,48
6,49,1,7,5,38
1,40,1,9,6,15
9,56,1,5,7,53
9,55,1,9,1,51
2,48,1,7,6,26
3,96,1,6,8,77
5,92,1,8,0,81
5,48,0,8,0,33
1,98,0,6,6,72
8,94,1,7,4,86
8,48,1,4,0,40
4,51,1,9,0,34
7,94,0,9,1,86
3,80,0,4,9,58
6,54,1,8,8,44
9,41,0,6,2,36
1,50,1,6,8,26
5,50,1,5,5,37
4,47,1,8,9,31
8,94,1,6,5,89
1,71,1,5,6,45
9,45,0,4,9,41
6,92,1,8,7,84
4,59,1,8,2,42
9,78,1,6,7,76
5,74,1,6,5,57
5,47,0,7,5,31
5,89,1,4,2,70
1,88,1,4,5,60
1,82,0,9,7,59
8,73,1,5,6,67
8,96,1,5,9,94
6,92,1,7,9,83
4,98,1,9,6,83
2,95,0,4,2,70
2,58,1,5,9,38
9,46,1,4,2,41
5,70,0,4,4,53
4,57,1,9,4,41
1,79,1,5,8,51
7,53,0,6,8,44
3,78,1,6,9,58
6,99,0,9,4,92
5,92,1,5,4,76
5,99,0,7,5,85
5,98,1,8,7,86
1,75,1,9,5,52
1,56,0,4,5,28
3,76,1,9,8,61
4,83,0,8,0,65
5,48,0,9,3,34
2,97,0,5,9,73
8,59,0,4,9,53
2,84,1,8,1,59
9,96,0,6,8,96
2,67,1,7,2,47
9,89,1,9,9,89
7,59,0,9,1,48
8,80,0,8,7,74
2,75,1,7,3,52
7,92,0,9,1,82
6,66,1,6,3,54
4,47,0,8,6,28
7,71,1,5,6,61
4,40,1,4,0,20
2,56,0,6,0,34
7,96,1,7,2,90
8,48,1,7,1,43
2,59,0,6,2,35
5,84,0,5,3,68
1,71,0,9,6,46
7,41,0,5,1,29
8,71,0,9,6,66
6,84,1,9,4,71
5,48,1,7,7,34
6,69,0,9,7,56
2,59,1,6,4,35
1,77,1,9,9,54
7,99,1,6,7,90
7,40,1,4,8,27
2,99,1,7,6,77
2,96,0,5,5,70
1,44,0,8,6,20
8,74,1,5,6,68
8,75,1,5,2,69
1,40,0,8,5,14
8,53,0,7,5,44
9,48,0,9,8,46
4,69,0,4,0,48
1,63,1,5,6,39
1,43,0,9,0,17
3,89,0,5,9,67
5,53,1,7,3,38
5,64,0,7,6,50
9,43,0,6,5,39
2,64,0,7,5,41
2,49,0,7,4,25
6,74,0,5,6,60
9,94,1,4,8,91
1,46,1,5,5,17
9,81,1,9,9,82
9,52,1,7,6,51
9,43,1,6,8,39
5,89,0,4,6,72
9,82,0,6,5,80
4,96,0,8,2,82
2,75,0,6,0,49
6,95,0,6,9,84
4,53,0,9,8,39
6,57,0,7,6,42
3,47,0,9,2,27
6,71,0,7,9,60
2,66,0,9,8,46
2,81,0,7,2,58
9,76,0,7,2,72
7,62,0,7,6,56
3,46,1,6,1,25
1,51,0,8,9,26
8,64,1,7,6,59
6,42,0,8,6,31
7,65,0,8,0,56
9,43,0,5,9,39
5,81,1,5,1,66
1,75,1,4,4,48
7,54,0,9,3,43
5,71,0,5,2,53
3,68,0,7,9,48
9,49,0,8,7,45
1,60,1,9,6,36
1,93,1,4,8,68
1,55,0,5,2,27
3,86,1,6,9,67
6,58,1,9,0,50
3,68,0,4,8,45
8,91,0,7,8,86
2,90,0,9,0,67
9,57,1,8,7,58
3,97,0,7,9,80
5,83,1,7,0,68
8,96,0,9,5,92
2,55,0,6,8,33
6,40,1,6,2,28
5,87,1,9,5,74
9,41,1,9,2,38
5,95,1,9,4,85
2,54,1,8,6,32
5,78,1,5,9,63
4,67,0,7,3,49
7,40,1,9,3,29
6,44,1,5,6,32
2,81,0,8,4,58
5,61,1,7,0,46
7,92,1,5,9,84
7,75,0,7,1,64
5,85,0,6,5,71
9,52,0,9,8,53
4,40,1,6,6,19
3,55,0,4,3,36
4,94,1,8,1,77
5,80,0,9,3,66
6,61,1,5,4,50
3,71,0,7,1,53
2,55,0,4,0,30
4,90,0,8,3,70
5,54,1,8,5,43
4,97,1,8,0,80
3,85,0,5,0,65
8,91,0,9,8,87
4,81,0,6,4,64
2,92,0,4,1,67
2,51,1,5,1,26
1,99,0,7,3,75
4,40,0,5,1,17
9,92,1,7,3,92
7,56,1,7,5,48
7,80,0,8,6,74
7,94,0,5,5,84
8,90,1,6,3,87
1,96,1,7,9,75
8,89,0,8,2,80
4,67,1,6,3,49
4,46,1,5,4,28
4,48,0,6,3,27
6,61,0,5,2,48
7,65,1,7,0,56
6,92,0,4,2,79
1,51,0,4,4,23
8,46,0,9,5,39
7,85,0,9,3,76
6,86,0,7,0,74
6,54,1,6,9,43
5,77,1,5,6,60
6,60,0,4,8,46
9,53,0,5,5,49
9,41,0,7,5,37
8,47,1,6,8,41
9,84,1,5,3,82
8,94,1,6,4,88
8,45,1,4,4,35
1,76,0,5,4,50
5,76,0,8,7,60
4,96,1,4,0,77
2,72,1,6,9,50
8,80,0,7,9,75
3,45,0,8,2,24
4,91,0,9,7,76
7,65,0,5,8,56
9,78,0,9,1,75
2,80,1,4,3,59
3,76,0,5,7,52
4,53,1,5,4,35
1,76,1,8,0,49
7,47,0,8,5,35
2,78,1,8,8,57
5,52,1,8,8,39
1,52,0,7,0,25
3,79,1,6,3,59
2,82,0,8,0,59
1,67,0,4,6,41
7,97,1,5,2,86
5,57,0,9,1,42
1,96,0,8,7,71
6,58,1,4,8,45
5,77,0,7,6,63
3,71,1,4,5,50
7,61,1,9,9,56
9,41,0,9,5,38
9,99,1,4,8,96
9,52,0,7,4,48
2,62,1,9,4,43
3,64,0,7,1,42
7,67,0,5,5,58
5,97,1,8,5,83
2,50,1,9,5,28
3,72,0,4,3,50
6,63,0,6,6,53
7,41,1,6,8,32
9,69,0,5,0,64
1,56,0,6,2,26
7,79,1,5,9,68
8,73,1,8,8,70
3,77,0,5,4,58
4,61,1,7,5,44
6,44,1,7,7,33
7,87,0,7,8,78
4,79,1,9,7,63
8,90,1,7,2,84
5,55,0,7,9,41
1,52,1,7,0,25
4,65,0,7,4,45
3,70,1,9,6,52
9,91,1,7,1,88
8,78,0,7,0,71
1,87,1,8,3,62
6,62,1,9,2,51
9,87,1,7,3,81
7,51,1,5,0,41
4,53,1,8,1,33
1,95,1,9,0,68
2,57,0,6,2,33
5,66,1,4,3,51
5,67,1,9,0,53
8,57,0,8,5,48
6,55,0,7,1,42
8,91,0,8,9,87
2,55,1,4,4,31
3,52,0,4,7,30
6,97,0,9,3,86
3,68,1,7,4,48
6,48,0,7,8,39
6,65,1,5,1,52
2,67,1,4,1,42
7,80,1,7,5,72
2,52,1,4,5,30
6,75,1,5,2,63
1,48,0,6,8,22
3,86,1,4,0,64
2,53,0,5,2,25
7,90,1,5,7,79
4,51,0,5,7,33
8,92,1,8,3,90
6,97,1,9,7,88
4,96,1,7,9,82
5,71,0,4,7,57
9,77,0,9,0,74
7,42,0,8,2,36
9,97,1,4,0,93
7,96,1,9,1,86
1,93,0,8,3,70
8,91,1,7,2,84
4,55,0,5,5,36
3,59,1,9,4,40
7,71,0,9,4,61
3,95,0,4,9,76
8,62,1,5,6,56
6,56,0,7,6,44
5,55,1,4,8,40
4,77,1,6,7,60
8,47,1,6,2,40
8,58,0,6,1,51
1,69,0,7,0,45
9,96,0,6,9,94
5,97,1,9,5,85
4,73,1,4,3,55
6,53,0,9,2,41
6,61,1,6,1,50
2,83,1,4,1,60
8,56,0,9,3,50
7,99,0,7,0,93
1,98,1,5,5,73
5,54,1,9,9,42
6,89,0,8,4,78
4,87,0,6,9,70
2,71,1,8,8,48
4,52,1,5,1,30
1,60,1,7,8,35
7,88,0,9,8,81
2,79,1,7,9,57
2,72,1,5,8,47
9,96,1,8,9,92
5,97,1,9,9,85
2,66,1,6,3,43
9,74,1,4,4,67
9,55,0,7,7,52
1,67,0,5,7,38
3,73,0,9,0,52
4,86,1,8,9,73
7,40,0,6,0,31
4,80,1,8,9,65
2,87,1,6,5,65
7,70,1,9,6,64
6,75,1,4,1,61
3,83,1,4,1,58
6,72,0,5,4,59
6,72,0,5,8,63
5,78,0,6,4,63
4,57,1,6,7,40
1,62,0,6,7,33
6,99,1,6,4,91
2,62,0,9,7,40
3,54,0,9,7,35
8,65,0,4,4,58
6,69,0,5,4,56
3,64,0,5,3,40
7,84,0,7,0,74
4,55,1,5,8,41
9,78,1,5,1,77
5,87,1,8,0,73
3,84,1,8,5,66
2,53,1,7,4,30
2,56,0,6,0,28
3,51,1,7,6,34
2,68,1,7,6,46
4,71,1,4,2,52
2,95,1,9,7,73
9,63,1,5,5,59
2,91,1,4,3,67
9,52,1,9,9,51
6,95,1,5,9,84
1,59,1,7,9,31
4,54,0,5,2,34
1,95,1,6,0,69
6,92,1,6,1,80
4,43,0,7,1,27
3,93,0,8,4,73
3,73,1,6,3,52
9,67,1,7,1,62
6,89,1,4,8,77
9,41,0,8,6,41
5,96,1,6,7,82
2,86,0,7,7,65
8,69,0,7,1,62
5,65,0,4,4,48
2,90,0,4,2,65
4,86,0,8,9,70
9,65,1,9,8,62
4,59,1,6,8,40
4,81,0,7,5,64
2,67,0,8,3,44
6,95,0,8,7,82
2,59,0,4,4,37
7,50,1,7,2,39
3,97,0,5,7,77
3,49,0,9,5,27
5,62,1,9,4,49
3,76,1,4,0,54
2,80,1,7,2,57
9,91,1,8,6,90
2,58,0,9,2,35
2,84,0,8,0,60
8,57,0,6,7,51
9,88,0,5,6,86
7,66,0,4,4,55
3,45,0,9,9,28
9,49,0,6,4,47
3,41,0,6,5,20
5,63,0,5,6,47
9,77,1,4,2,75
3,67,0,4,3,45
7,67,1,8,0,57
1,92,1,4,6,66
4,84,1,6,9,68
4,89,1,8,1,74
7,78,0,4,6,66
8,41,1,5,5,36
1,85,1,6,3,61
5,44,0,7,1,27
7,89,1,5,6,80
4,50,0,5,6,31
4,49,0,4,4,30
4,82,0,8,8,66
6,98,0,8,2,84
7,41,1,6,8,32
2,54,0,4,4,27
5,78,1,8,1,64
4,80,1,9,8,65
3,76,0,7,0,55
7,46,1,9,0,37
6,59,0,4,6,46
7,73,1,4,2,66
5,74,1,8,7,61
6,73,1,5,6,61
5,92,1,4,6,79
7,61,0,5,0,47
2,70,0,6,0,45
5,62,1,6,1,46
6,58,1,8,1,46
6,43,1,6,4,30
5,63,1,9,8,53
7,59,0,9,6,54
8,78,1,9,1,73
7,67,1,8,4,59
5,93,1,8,4,80
1,78,0,9,7,54
5,56,1,5,8,41
2,58,0,9,7,34
5,93,0,5,1,79
5,87,1,6,3,75
2,74,1,5,1,48
5,71,1,4,5,56
4,86,0,7,3,72
1,85,0,4,6,55
3,86,1,4,1,63
1,85,0,8,8,61
5,78,1,7,4,61
4,96,1,8,0,79
7,74,1,5,2,64
5,69,1,9,3,56
4,56,1,5,2,34
2,81,1,7,5,60
4,86,0,6,5,68
2,68,0,5,9,45
8,45,0,4,6,37
3,99,1,7,8,83
9,56,1,7,9,56
4,56,1,5,8,38
6,53,0,5,6,40
5,63,1,8,0,48
1,96,0,8,2,73
9,89,1,4,4,85
1,96,0,7,9,71
8,76,1,6,5,70
9,79,1,6,5,77
9,78,0,7,4,78
1,94,0,4,5,67
2,71,0,8,8,51
1,75,1,8,0,49
2,89,0,8,0,66
8,76,0,6,8,72
5,87,1,6,7,72
7,53,1,4,8,41
2,66,0,6,6,41
8,98,1,5,9,92
6,58,0,6,5,46
8,70,0,8,8,65
1,85,0,4,1,56
1,48,1,7,3,22
7,77,0,7,1,68
8,56,0,4,5,51
3,58,1,5,0,33
5,83,0,7,6,66
1,43,0,8,6,15
7,87,0,7,6,79
5,96,1,7,3,82
8,50,0,8,7,43
8,61,1,6,4,55
9,43,1,5,1,38
7,56,0,8,4,47
1,47,0,8,9,22
3,85,1,9,8,67
8,98,0,4,9,92
3,73,0,5,0,54
8,50,1,6,1,41
1,70,0,9,9,48
5,50,0,8,7,36
4,95,1,9,4,79
5,93,0,6,8,79
8,95,1,9,5,91
4,77,1,9,7,62
4,92,0,9,0,77
3,60,1,8,8,40
7,85,0,8,8,74
3,69,0,4,2,44
3,49,1,7,0,28
5,65,1,5,7,48
5,66,1,4,7,52
6,47,1,6,8,36
8,78,1,9,5,74
6,47,1,8,8,39
1,99,0,9,9,75
8,47,0,8,8,42
8,94,1,5,3,88
9,73,0,4,4,71
9,98,1,4,5,96
2,55,1,6,5,32
2,80,0,4,9,56
3,52,0,4,1,26
1,62,1,7,3,36
4,51,1,5,8,30
4,66,1,9,6,50
9,61,0,4,8,57
9,71,1,6,5,69
9,96,1,9,6,92
7,88,0,8,8,80
2,66,0,4,3,41
5,41,0,4,8,25
4,84,1,9,2,67
8,72,1,8,7,68
2,65,0,7,2,41
6,67,1,5,2,55
5,58,1,7,2,41
2,82,0,6,8,59
1,44,0,9,9,19
8,72,1,4,2,63
2,59,0,7,5,39
7,69,0,5,3,59
9,84,1,6,1,80
9,47,1,7,2,44
8,77,1,4,4,72
9,56,1,5,9,53
2,83,1,4,3,59
6,40,1,4,4,27
4,42,0,6,0,23
4,85,0,5,3,67
5,65,0,8,9,49
3,70,1,4,2,48
1,47,1,5,1,20
8,82,1,4,6,76
5,98,1,7,9,85
3,85,1,7,8,66
7,47,0,5,0,36
7,74,1,6,6,64
1,78,0,8,0,52
9,67,1,7,4,63
2,90,0,6,0,66
5,43,0,8,2,29
5,96,0,7,7,85
8,55,0,8,3,49
8,52,0,9,0,46
7,59,0,4,0,48
7,90,0,5,7,81
6,44,1,7,7,33
6,94,1,7,3,83
9,76,0,4,3,73
6,59,1,7,9,46
2,63,1,7,1,41
2,75,0,9,1,52
5,73,1,7,5,61
4,97,0,7,7,80
2,84,1,7,6,62
3,87,0,6,6,67
7,93,1,7,2,85
8,73,0,4,1,63
6,58,1,9,9,48
5,56,1,7,6,42
1,44,1,8,3,19
8,64,0,9,0,57
3,57,0,9,0,35
6,99,1,8,3,89
3,94,1,4,4,73
7,92,0,6,4,85
7,89,1,4,0,76
9,47,1,6,2,43
5,66,0,5,5,52
8,54,0,8,9,49
8,84,1,9,6,80
1,52,0,9,0,26
5,55,1,9,7,42
3,61,1,8,3,41
1,59,0,8,8,32
4,52,1,6,5,34
8,59,0,9,0,53
3,41,0,4,1,18
2,74,1,6,2,48
9,86,0,9,1,83
5,94,1,8,9,80
7,58,0,8,6,52
2,84,1,8,0,61
9,76,0,9,8,78
9,97,1,8,1,95
4,93,1,5,3,75
4,45,0,8,7,28
6,53,1,9,2,42
6,43,1,6,8,31
1,61,1,8,6,36
9,90,1,7,9,89
2,94,1,5,2,68
5,78,1,9,2,65
9,75,0,8,4,71
4,73,0,7,4,55
3,66,0,9,9,47
7,46,0,6,4,35
6,42,1,5,8,32
8,86,1,8,8,84
3,72,0,6,5,49
5,41,1,9,6,27
4,81,0,7,9,62
4,55,1,9,7,37
4,64,1,9,8,49
8,99,0,5,5,90
6,54,1,8,7,43
3,63,0,6,1,41
5,54,0,5,9,39
6,70,0,7,7,62
5,53,1,8,1,38
6,93,1,5,7,82
8,53,0,7,1,46
7,45,1,7,2,34
5,53,0,6,6,38
6,56,0,9,8,46
4,57,1,7,2,42
9,59,0,7,4,53
4,90,1,9,8,75
1,56,1,4,6,29
7,55,1,7,1,46
7,79,0,8,4,69
4,78,0,5,4,60
3,91,1,9,8,73
8,71,1,9,1,65
5,99,0,9,0,84
7,83,1,8,3,73
4,48,1,9,3,30
4,66,0,8,0,47
8,85,0,6,9,80
8,91,0,4,6,83
2,72,1,9,1,50
2,49,0,4,8,22
3,56,0,9,6,39
3,88,0,8,6,68
1,88,0,5,0,60
3,75,0,4,8,57
6,56,0,4,9,43
8,57,0,8,8,51
6,91,1,4,1,78
5,62,0,6,9,48
4,73,1,8,8,57
3,47,1,4,1,25
4,52,0,4,1,32
7,62,1,4,7,53
1,96,0,8,2,68
7,93,1,5,2,86
1,59,0,7,6,35
2,61,1,9,9,38
4,86,0,4,5,69
1,91,0,7,6,68
9,62,1,7,5,57
6,80,1,4,8,68
1,74,0,4,1,49
1,42,1,9,7,18
6,73,0,7,5,59
4,72,1,5,3,56
4,85,0,7,5,65
6,56,1,5,5,44
7,84,0,6,9,75
9,58,1,5,2,55
5,69,0,9,7,56
9,62,1,8,4,60
4,54,0,4,9,37
2,98,1,6,3,77
3,96,1,7,1,76
1,53,0,5,9,28
6,41,1,6,0,28
6,78,1,8,6,68
1,88,0,5,9,62
3,57,0,9,2,37
5,45,0,7,2,32
3,98,0,7,2,78
3,71,1,5,9,48
3,60,1,8,2,40
5,79,1,4,1,63
5,67,0,4,5,51
4,66,1,7,9,50
1,41,1,8,2,15
5,72,0,7,0,54
5,55,1,4,9,39
4,78,1,7,8,62
6,61,0,5,5,48
4,95,1,9,5,82
7,82,0,5,9,73
7,86,0,9,8,79
2,52,1,8,1,30
3,95,1,4,9,75
1,41,1,8,8,17
8,53,0,8,2,47
9,95,0,4,2,87
4,77,1,6,2,59
6,80,1,6,0,68
9,67,0,7,9,66
6,46,1,6,6,35
9,57,1,5,9,54
4,95,0,9,6,77
8,80,1,8,1,75
9,94,1,7,5,95
4,75,1,8,3,58
5,80,1,4,6,65
8,75,0,6,6,67
6,83,0,4,3,67
7,43,0,7,2,33
3,96,0,9,6,77
7,69,1,5,8,57
8,63,1,6,3,55
6,59,1,4,5,46
9,85,1,9,6,86
6,95,0,6,9,81
9,70,1,8,2,70
4,63,1,5,4,43
8,46,0,9,0,40
4,65,0,6,5,47
2,52,0,5,4,27
9,93,1,9,6,93
5,47,0,8,8,33
4,94,1,8,3,78
2,44,1,4,8,18
1,83,0,7,5,56
7,52,0,4,4,44
6,68,0,5,1,58
2,59,1,4,0,37
8,53,1,9,7,47
4,71,1,6,5,55
8,99,0,9,6,95
7,89,1,4,5,79
5,66,1,7,9,53
8,95,1,9,6,91
9,64,1,9,8,63
5,91,0,9,4,79
5,43,1,7,0,26
2,60,0,9,0,37
5,57,0,5,8,43
3,78,1,8,4,60
7,54,1,7,1,45
5,92,0,5,2,73
8,77,1,7,0,72
1,87,0,7,5,61
3,91,1,8,5,72
3,63,1,6,2,42
9,47,0,5,2,40
5,67,1,7,6,53
9,60,0,7,0,56
9,55,0,4,4,47
1,99,1,9,2,75
2,93,0,6,4,69
5,55,1,8,3,41
4,74,1,5,5,55
